trial,start_city,distance,elapsed_sec,total_elapsed_sec,output_file,is_best
99,656,41454.86,24.75,2990.52,random_start_outputs_6/output_6_trial_99.csv,False
100,236,41443.33,30.71,3021.24,random_start_outputs_6/output_6_trial_100.csv,False
101,891,41093.69,27.67,3048.91,random_start_outputs_6/output_6_trial_101.csv,False
102,641,41084.04,26.33,3075.24,random_start_outputs_6/output_6_trial_102.csv,False
103,965,41160.59,33.02,3108.26,random_start_outputs_6/output_6_trial_103.csv,False
104,1836,41303.66,32.48,3140.74,random_start_outputs_6/output_6_trial_104.csv,False
105,867,41444.55,30.46,3171.20,random_start_outputs_6/output_6_trial_105.csv,False
106,1514,41489.53,30.63,3201.84,random_start_outputs_6/output_6_trial_106.csv,False
107,1488,41150.71,30.52,3232.36,random_start_outputs_6/output_6_trial_107.csv,False
108,1623,41362.92,32.70,3265.06,random_start_outputs_6/output_6_trial_108.csv,False
109,56,41396.50,25.74,3290.80,random_start_outputs_6/output_6_trial_109.csv,False
110,302,41426.05,36.43,3327.24,random_start_outputs_6/output_6_trial_110.csv,False
111,896,41390.87,29.60,3356.84,random_start_outputs_6/output_6_trial_111.csv,False
112,1775,41772.29,35.74,3392.59,random_start_outputs_6/output_6_trial_112.csv,False
113,1641,41313.46,26.47,3419.06,random_start_outputs_6/output_6_trial_113.csv,False
114,328,41146.37,30.14,3449.21,random_start_outputs_6/output_6_trial_114.csv,False
115,754,41137.99,30.69,3479.89,random_start_outputs_6/output_6_trial_115.csv,False
116,730,41638.07,34.46,3514.36,random_start_outputs_6/output_6_trial_116.csv,False
117,735,41116.85,27.20,3541.56,random_start_outputs_6/output_6_trial_117.csv,False
118,812,41216.47,28.28,3569.84,random_start_outputs_6/output_6_trial_118.csv,False
119,920,41478.82,28.16,3598.00,random_start_outputs_6/output_6_trial_119.csv,False
120,551,41352.18,31.33,3629.32,random_start_outputs_6/output_6_trial_120.csv,False
121,1818,41193.18,31.86,3661.18,random_start_outputs_6/output_6_trial_121.csv,False
122,1650,41350.52,30.86,3692.04,random_start_outputs_6/output_6_trial_122.csv,False
